endTime,artistName,trackName,msPlayed
2021-08-25 13:29,Bad Bunny,LA NOCHE DE ANOCHE,136486
2021-08-25 13:32,Taylor Swift,The Moment I Knew,7934
2021-08-25 13:32,Marc E. Bassy,Just My Luck,186496
2021-08-25 13:34,Londynn B,I Can't Change,2319
2021-08-25 13:34,Lafrantz,Backseat,159558
2021-08-25 13:38,Jake Scott,Open Eyes,194344
2021-08-25 13:41,Lizzo,Like a Girl,184857
2021-08-25 13:43,Future,Codeine Crazy,131124
2021-08-25 15:01,benny blanco,You (with Marshmello & Vance Joy),169094
2021-08-25 15:04,Matt Hall,Anxious,191194
2021-08-25 15:04,Two Friends,Last Day,2925
2021-08-25 15:04,gnash,imagine if,2252
2021-08-25 15:04,The Lumineers,Ophelia,19401
2021-08-25 15:07,Trippie Redd,Excitement,2368
2021-08-25 15:07,Anthony Russo,Nobody To Love,142802
2021-08-26 01:11,Trippie Redd,Excitement,2368
2021-08-26 01:14,benny blanco,You (with Marshmello & Vance Joy),169094
2021-08-26 01:15,Ben Rector,Almost Home,53781
2021-08-26 12:11,6LACK,Unfair,928
2021-08-26 12:11,Eminem,Love The Way You Lie,1021
2021-08-26 12:11,Queen,Somebody To Love - Remastered 2011,1091
2021-08-26 12:11,Taylor Swift,illicit affairs,1300
2021-08-26 12:11,Ben Rector,Almost Home,1277
2021-08-26 12:15,Taylor Swift,my tears ricochet,255893
2021-08-26 12:19,Miley Cyrus,See You Again,190453
2021-08-26 13:38,Miley Cyrus,Right Here,162677
2021-08-26 13:38,Miley Cyrus,We Can't Stop,2002
2021-08-26 13:42,Miley Cyrus,We Can't Stop,227876
2021-08-26 13:42,OSO Slim,If You Say,7074
2021-08-26 13:45,benny blanco,You (with Marshmello & Vance Joy),169094
2021-08-26 13:49,We Three,i wanna love somebody,229022
2021-08-26 13:50,The Kid LAROI,STAY (with Justin Bieber),94435
2021-08-26 21:41,The Kid LAROI,STAY (with Justin Bieber),9705
2021-08-26 21:44,The 1975,Intro / Set3,187973
2021-08-26 21:45,El Alfa,Arrebatao,6455
2021-08-26 21:45,The Kid LAROI,STAY (with Justin Bieber),0
2021-08-26 21:48,Taylor Swift,long story short,215920
2021-08-26 21:49,Taylor Swift,Today Was A Fairytale (Taylor’s Version),2560
2021-08-26 21:49,Post Malone,White Iverson,30547
2021-08-27 01:15,Taylor Swift,Today Was A Fairytale (Taylor’s Version),239263
2021-08-27 01:18,Jaymes Young,Happiest Year - Prince Fox Remix,155806
2021-08-27 01:32,The Band CAMINO,Roses,68747
2021-08-27 01:35,benny blanco,You (with Marshmello & Vance Joy),169094
2021-08-27 01:38,Miley Cyrus,Let's Dance,182546
2021-08-27 01:41,Miley Cyrus,Right Here,164826
2021-08-27 01:44,Miley Cyrus,See You Again,190453
2021-08-27 01:48,Miley Cyrus,We Can't Stop,231240
2021-08-27 01:51,Miley Cyrus,Party In The U.S.A.,202066
2021-08-27 01:53,Miley Cyrus,The Climb,106500
2021-08-27 03:35,somegirlnamedanna,seriously just stop - Loote remix,1857
2021-08-27 03:35,Flo Milli,Pussycat Doll,255
2021-08-27 03:35,Adam Friedman,Glorious,1091
2021-08-27 03:35,Macklemore,White Privilege II (feat. Jamila Woods),1068
2021-08-27 03:35,Phil Vassar,Carlene,1091
2021-08-27 03:35,Childish Gambino,3005,2205
2021-08-27 03:35,Childish Gambino,3005,4473
2021-08-27 03:38,San Holo,bb u ok?,201611
2021-08-27 03:39,Flo Rida,Wild Ones (feat. Sia),8405
2021-08-27 03:39,Daya,Hide Away,1764
2021-08-27 03:39,Su Lee,Slice of Life,1091
2021-08-27 03:39,Los Tigres Del Norte,Tres Veces Mojado,33733
2021-08-27 03:42,El Alfa,Arrebatao,171355
2021-08-27 03:42,El Alfa,Hablamos Nunca,17298
2021-08-27 03:45,Rosie Darling,L.A.,181935
2021-08-27 04:01,The Chicks,Easy Silence,69431
2021-08-27 17:22,Valley,Like 1999,1280
2021-08-27 17:22,blink-182,She's Out Of Her Mind,938
2021-08-27 17:26,Donna Lewis,I Love You Always Forever,239960
2021-08-27 17:29,Gavin Haley,better off,191861
2021-08-27 17:30,Beyoncé,If I Were a Boy,4106
2021-08-27 17:30,RedWillow,Stardumb,1002
2021-08-27 17:30,Otoboke Beaver,datsu . hikage no onna,895
2021-08-27 17:32,Jon Robert Hall,Good For You,157959
2021-08-27 17:35,Don Toliver,No Idea,154424
2021-08-27 17:38,Clean Bandit,I Miss You (feat. Julia Michaels),205986
2021-08-27 17:41,Shoffy,14 Texts,194387
2021-08-27 17:44,Quinn Lewis,If I Could Dance,159382
2021-08-27 21:14,Axwell /\ Ingrosso,More Than You Know,48602
2021-08-27 21:14,Taylor Swift,The Lucky One,7360
2021-08-27 21:17,Julia Michaels,17,1392
2021-08-27 21:17,benny blanco,You (with Marshmello & Vance Joy),169094
2021-08-27 21:17,Taylor Swift,tolerate it,8469
2021-08-27 21:23,Hammock,Ten Thousand Years Won't Save Your Life,387675
2021-08-27 21:28,The Album Leaf,The Light,269066
2021-08-27 21:31,James Wadman,"The Story of You and Me, Pt. 1",174545
2021-08-27 21:35,Jai Wolf,Indian Summer,248470
2021-08-27 21:38,Phoebe Bridgers,Kyoto (Copycat Killer Version),181213
2021-08-27 21:40,AJR,Overture,158360
2021-08-27 21:44,Phoebe Bridgers,Chinese Satellite (Copycat Killer Version),210626
2021-08-27 21:48,Big Red Machine,Renegade (feat. Taylor Swift),254466
2021-08-27 21:52,Petit Biscuit,Waterfall,209746
2021-08-27 21:55,Louis The Child,Last To Leave (feat. Caroline Ailin),180147
2021-08-27 22:36,Gryffin,Feel Good (feat. Daya),215374
2021-08-28 00:44,benny blanco,You (with Marshmello & Vance Joy),148394
2021-08-28 23:07,benny blanco,You (with Marshmello & Vance Joy),169734
2021-08-28 23:09,Lil Saint,Dr. Miami,116000
2021-08-28 23:13,City and Colour,Northern Wind,255773
2021-08-28 23:17,Forester,Towns,225714
2021-08-28 23:19,We Three,Lifeline,102244
2021-08-29 00:52,benny blanco,You (with Marshmello & Vance Joy),37034
2021-08-29 00:53,Brett Eldredge,Love Someone,87210
2021-08-29 15:12,OneRepublic,Run,168259
2021-08-29 15:15,Kygo,Lose Somebody,199549
2021-08-29 15:18,OneRepublic,Somebody To Love,181857
2021-08-29 15:21,OneRepublic,Forgot About You,173249
2021-08-29 15:24,OneRepublic,Didn't I,207616
2021-08-29 15:27,OneRepublic,Rescue Me,159650
2021-08-29 15:29,OneRepublic,Wanted,136247
2021-08-29 15:32,OneRepublic,Better Days,144545
2021-08-29 15:34,OneRepublic,Take It Out On Me,147800
2021-08-29 15:38,OneRepublic,Take Care Of You,228364
2021-08-29 15:43,OneRepublic,Ships + Tides,296424
2021-08-29 15:46,OneRepublic,Someday - Acoustic,185550
2021-08-29 15:49,OneRepublic,Distance,180352
2021-08-29 15:52,OneRepublic,Someday,187888
2021-08-29 15:55,OneRepublic,Savior,181358
2021-08-29 16:00,OneRepublic,Wild Life,267117
2021-08-29 16:02,OneRepublic,Connection,148459
2021-08-29 16:06,Andy Grammer,Lease On Life,14413
2021-08-29 16:06,NOTD,I Don't Know Why,207667
2021-08-29 16:06,OneRepublic,Wanted,33098
2021-08-29 19:04,Wrabel,london,102982
2021-08-29 19:07,Kanye West,Donda Chant,11818
2021-08-29 19:07,Kanye West,Donda Chant,10860
2021-08-29 19:07,Kanye West,Donda Chant,26199
